A Short History of Nearly Everything,read,19,Bill Bryson,William Roberts,non-fiction,2009,2009,u,,6
Electric Universe,read,6.63,David Bodanis,Del Roy,non-fiction,2009,2009,u,,5 
Uranium,read,13.000000,Tom Zoellner,Patrick Lawlor,non-fiction,2009,2009,u,Nuclear,6
Do Androids Dream of Electric Sheep,read,9.2,Philip K. Dick,Scott Brick,fiction,2009,2009,u,,4 
Physics of the Impossible,read,11.86,Michio Kaku,Feodor Chin,non-fiction,2009,2009,u,,4 
The God Delusion,read,13.86,Richard Dawkins,Richard Dawkins,non-fiction,2009,2009,u,,4 
iWoz,read,9.183332,Steve Wozniak,Patrick Lawlor,non-fiction,2009,2009,u,Memoirs,6
The Black Cloud,read,8.46,Fred Hoyle,Jack Klaff,fiction,2009,2009,u,,4 
Your Inner Fish,read,6.98,Neil Shubin,Marc Cashman,non-fiction,2009,2009,u,,4 
How We Decide,read,9.55,Jonah Lehrer,David Colacci,non-fiction,2009,2009,u,,5 
The Elegant Universe,read,15.6,Brian Greene,Erik Davies,non-fiction,2009,2009,u,,1 
Europe's Last Summer,read,10.93,David Fromkin,Alan Sklar,non-fiction,2009,2009,u,,2 
Dexter by Design,read,10.63,Jeff Lindsay,Nick Landrum,fiction,2009,2009,u,Dexter,5 
The Greatest Show on Earth,read,14.58,Richard Dawkins,Richard Dawkins,non-fiction,2009,2009,u,,4 
Love and Sex with Robots,read,11.45,David Levy,James Adams,non-fiction,2009,2009,u,,5 
13 Things That Don't Make Sense,read,8.96,Michael Brooks,James Adams,non-fiction,2009,2009,u,,5 
FREE,read,7.03,Chris Anderson,Chris Anderson,non-fiction,2009,2009,u,,3 
How to Build a Dinosaur,read,6.58,Jack Horner,Patrick Lawlor,non-fiction,2009,2009,u,,4 
The Areas of My Expertise,read,6.95,John Hodgman,John Hodgman,fiction,2009,2009,u,Complete World Knowledge,5 
More Information Than You Require,read,12.8,John Hodgman,John Hodgman,fiction,2009,2009,u,Complete World Knowledge,5 
The Department of Mad Scientists,read,10.2,Michael Belfiore,Michael Belfiore,non-fiction,2009,2009,u,,3 
Gift of the Gods,read,1.2,Sally Malcolm,Michael Shanks,fiction,2009,2009,u,Stargate,3 
Darkly Dreaming Dexter,read,8.3,Jeff Lindsay,Nick Landrum,fiction,2010,2010,u,Dexter,5 
Before the Dawn,read,12.8,Nicholas Wade,Alan Sklar,non-fiction,2010,2010,u,,4 
The Life and Times of the Thunderbolt Kid,read,7.616666,Bill Bryson,Bill Bryson,non-fiction,2010,2010,u,Memoirs,5 
New Rules,read,2.51,Bill Maher,Bill Maher,fiction,2010,2010,u,,4 
Notes from a Small Island,read,5.65,Bill Bryson,Bill Bryson,non-fiction,2010,2010,a,,5 
Neither Here Nor There,read,5.63,Bill Bryson,Bill Bryson,non-fiction,2010,2010,a,,5 
